x1 x2 x3 v_real v_imag v_abs
0.0774931 0.0122737 -0.996917 561.579 -1325.69 1439.73
0.0699076 0.0356197 -0.996917 485.016 -1127.92 1227.78
0.055479 0.055479 -0.996917 356.586 -811.707 886.579
0.0356197 0.0699076 -0.996917 188.6 -423.511 463.607
0.0122737 0.0774931 -0.996917 -2.73294 -15.6479 15.8847
-0.0122737 0.0774931 -0.996917 -198.838 364.556 415.256
-0.0356197 0.0699076 -0.996917 -380.031 682.047 780.776
-0.055479 0.055479 -0.996917 -527.008 916.145 1056.91
-0.0699076 0.0356197 -0.996917 -622.989 1057.94 1227.74
-0.0774931 0.0122737 -0.996917 -656.373 1105.24 1285.45
-0.0774931 -0.0122737 -0.996917 -622.989 1057.94 1227.74
-0.0699076 -0.0356197 -0.996917 -527.008 916.145 1056.91
-0.055479 -0.055479 -0.996917 -380.031 682.047 780.776
-0.0356197 -0.0699076 -0.996917 -198.838 364.556 415.256
-0.0122737 -0.0774931 -0.996917 -2.7329 -15.6479 15.8847
0.0122737 -0.0774931 -0.996917 188.6 -423.511 463.607
0.0356197 -0.0699076 -0.996917 356.586 -811.707 886.578
0.055479 -0.055479 -0.996917 485.016 -1127.92 1227.78
0.0699076 -0.0356197 -0.996917 561.579 -1325.69 1439.73
0.230571 0.0365189 -0.97237 0.0146513 -0.0522583 0.0542733
0.208001 0.105982 -0.97237 0.0120873 -0.0420213 0.0437252
0.165071 0.165071 -0.97237 0.00845469 -0.0277593 0.0290182
0.105982 0.208001 -0.97237 0.00430966 -0.0129161 0.0136161
0.0365189 0.230571 -0.97237 -9.10491e-05 -0.000724667 0.000730365
-0.0365189 0.230571 -0.97237 -0.00474758 0.00686269 0.00834482
-0.105982 0.208001 -0.97237 -0.00956932 0.00970903 0.0136322
-0.165071 0.165071 -0.97237 -0.0140706 0.00929384 0.0168629
-0.208001 0.105982 -0.97237 -0.0173608 0.00778177 0.0190251
-0.230571 0.0365189 -0.97237 -0.0185793 0.00704198 0.0198691
-0.230571 -0.0365189 -0.97237 -0.0173612 0.0077822 0.0190256
-0.208001 -0.105982 -0.97237 -0.0140726 0.00929706 0.0168663
-0.165071 -0.165071 -0.97237 -0.00957046 0.00971151 0.0136348
-0.105982 -0.208001 -0.97237 -0.00474952 0.00686301 0.00834619
-0.0365189 -0.230571 -0.97237 -9.31754e-05 -0.000722296 0.000728281
0.0365189 -0.230571 -0.97237 0.00430899 -0.012916 0.0136159
0.105982 -0.208001 -0.97237 0.00845504 -0.0277603 0.0290194
0.165071 -0.165071 -0.97237 0.0120874 -0.042023 0.0437268
0.208001 -0.105982 -0.97237 0.014652 -0.0522565 0.0542717
0.377972 0.0598649 -0.92388 0.000313288 -0.000883072 0.000936998
0.340973 0.173735 -0.92388 0.000249843 -0.000700041 0.000743289
0.270598 0.270598 -0.92388 0.000169328 -0.000453273 0.000483868
0.173735 0.340973 -0.92388 6.66399e-05 -0.000156422 0.000170026
0.0598649 0.377972 -0.92388 1.79036e-06 1.34008e-05 1.35199e-05
-0.0598649 0.377972 -0.92388 -6.75189e-05 0.000104667 0.000124555
-0.173735 0.340973 -0.92388 -0.000143158 0.000112551 0.000182104
-0.270598 0.270598 -0.92388 -0.000224121 7.71802e-05 0.000237038
-0.340973 0.173735 -0.92388 -0.000286497 3.24626e-05 0.00028833
-0.377972 0.0598649 -0.92388 -0.000310283 1.38913e-05 0.000310594
-0.377972 -0.0598649 -0.92388 -0.000286875 3.3524e-05 0.000288827
-0.340973 -0.173735 -0.92388 -0.00022424 7.7471e-05 0.000237245
-0.270598 -0.270598 -0.92388 -0.000143058 0.000112453 0.000181965
-0.173735 -0.340973 -0.92388 -6.70237e-05 0.000103655 0.000123436
-0.0598649 -0.377972 -0.92388 1.93068e-06 1.39087e-05 1.4042e-05
0.0598649 -0.377972 -0.92388 6.6701e-05 -0.000156594 0.000170208
0.173735 -0.340973 -0.92388 0.000167753 -0.000450774 0.000480977
0.270598 -0.270598 -0.92388 0.000251284 -0.000702486 0.000746077
0.340973 -0.173735 -0.92388 0.000313783 -0.000883597 0.000937659
0.516066 0.0817368 -0.85264 2.15086e-05 -6.10933e-05 6.47689e-05
0.46555 0.237209 -0.85264 1.64334e-05 -4.8413e-05 5.11261e-05
0.369462 0.369462 -0.85264 1.05234e-05 -3.10949e-05 3.28274e-05
0.237209 0.46555 -0.85264 4.59917e-06 -1.29138e-05 1.37083e-05
0.0817368 0.516066 -0.85264 -7.7765e-08 -4.42278e-07 4.49063e-07
-0.0817368 0.516066 -0.85264 -5.18835e-06 4.89615e-06 7.13381e-06
-0.237209 0.46555 -0.85264 -1.18643e-05 3.62869e-06 1.24068e-05
-0.369462 0.369462 -0.85264 -1.85358e-05 -2.2145e-06 1.86677e-05
-0.46555 0.237209 -0.85264 -2.40763e-05 -7.67429e-06 2.52698e-05
-0.516066 0.0817368 -0.85264 -2.64154e-05 -9.46992e-06 2.80616e-05
-0.516066 -0.0817368 -0.85264 -2.39437e-05 -7.79115e-06 2.51794e-05
-0.46555 -0.237209 -0.85264 -1.87194e-05 -1.76256e-06 1.88022e-05
-0.369462 -0.369462 -0.85264 -1.2031e-05 4.07814e-06 1.27034e-05
-0.237209 -0.46555 -0.85264 -5.04148e-06 4.59976e-06 6.82454e-06
-0.0817368 -0.516066 -0.85264 -2.85024e-08 -3.64427e-07 3.6554e-07
0.0817368 -0.516066 -0.85264 4.525e-06 -1.27271e-05 1.35076e-05
0.237209 -0.46555 -0.85264 1.05315e-05 -3.1068e-05 3.28045e-05
0.369462 -0.369462 -0.85264 1.62744e-05 -4.77201e-05 5.04189e-05
0.46555 -0.237209 -0.85264 2.15425e-05 -6.14076e-05 6.50766e-05
0.641452 0.101596 -0.760406 2.23849e-06 -6.76517e-06 7.12589e-06
0.578662 0.294843 -0.760406 1.42635e-06 -5.05927e-06 5.25649e-06
0.459229 0.459229 -0.760406 8.31997e-07 -3.17283e-06 3.2801e-06
0.294843 0.578662 -0.760406 3.29472e-07 -1.14531e-06 1.19176e-06
