x1 x2 x3 v_real v_imag v_abs
5 0 1 0 0 0
5.03141 0 0.999507 0 0 0
5.06279 0 0.998027 0 0 0
5.09411 0 0.995562 0 0 0
5.12533 0 0.992115 0 0 0
5.15643 0 0.987688 0 0 0
5.18738 0 0.982287 0 0 0
5.21814 0 0.975917 0 0 0
5.24869 0 0.968583 0 0 0
5.27899 0 0.960294 0 0 0
5.30902 0 0.951057 0 0 0
5.33874 0 0.940881 0 0 0
5.36812 0 0.929776 0 0 0
5.39715 0 0.917755 0 0 0
5.42578 0 0.904827 0 0 0
5.45399 0 0.891007 0 0 0
5.48175 0 0.876307 0 0 0
5.50904 0 0.860742 0 0 0
5.53583 0 0.844328 0 0 0
5.56208 0 0.827081 0 0 0
5.58779 0 0.809017 0 0 0
5.61291 0 0.790155 0 0 0
5.63742 0 0.770513 0 0 0
5.66131 0 0.750111 0 0 0
5.68455 0 0.728969 0 0 0
5.70711 0 0.707107 0 0 0
5.72897 0 0.684547 0 0 0
5.75011 0 0.661312 0 0 0
5.77051 0 0.637424 0 0 0
5.79016 0 0.612907 0 0 0
5.80902 0 0.587785 0 0 0
5.82708 0 0.562083 0 0 0
5.84433 0 0.535827 0 0 0
5.86074 0 0.509041 0 0 0
5.87631 0 0.481754 0 0 0
5.89101 0 0.45399 0 0 0
5.90483 0 0.425779 0 0 0
5.91775 0 0.397148 0 0 0
5.92978 0 0.368125 0 0 0
5.94088 0 0.338738 0 0 0
5.95106 0 0.309017 0 0 0
5.96029 0 0.278991 0 0 0
5.96858 0 0.24869 0 0 0
5.97592 0 0.218143 0 0 0
5.98229 0 0.187381 0 0 0
5.98769 0 0.156434 0 0 0
5.99211 0 0.125333 0 0 0
5.99556 0 0.0941083 0 0 0
5.99803 0 0.0627905 0 0 0
5.99951 0 0.0314108 0 0 0
6 0 -1.27104e-15 0 0 0
5.99951 0 -0.0314108 0 0 0
5.99803 0 -0.0627905 0 0 0
5.99556 0 -0.0941083 0 0 0
5.99211 0 -0.125333 0 0 0
5.98769 0 -0.156434 0 0 0
5.98229 0 -0.187381 0 0 0
5.97592 0 -0.218143 0 0 0
5.96858 0 -0.24869 0 0 0
5.96029 0 -0.278991 0 0 0
5.95106 0 -0.309017 0 0 0
5.94088 0 -0.338738 0 0 0
5.92978 0 -0.368125 0 0 0
5.91775 0 -0.397148 0 0 0
5.90483 0 -0.425779 0 0 0
5.89101 0 -0.45399 0 0 0
5.87631 0 -0.481754 0 0 0
5.86074 0 -0.509041 0 0 0
5.84433 0 -0.535827 0 0 0
5.82708 0 -0.562083 0 0 0
5.80902 0 -0.587785 0 0 0
5.79016 0 -0.612907 0 0 0
5.77051 0 -0.637424 0 0 0
5.75011 0 -0.661312 0 0 0
5.72897 0 -0.684547 0 0 0
5.70711 0 -0.707107 0 0 0
5.68455 0 -0.728969 0 0 0
5.66131 0 -0.750111 0 0 0
5.63742 0 -0.770513 0 0 0
5.61291 0 -0.790155 0 0 0
5.58779 0 -0.809017 0 0 0
5.56208 0 -0.827081 0 0 0
5.53583 0 -0.844328 0 0 0
5.50904 0 -0.860742 0 0 0
5.48175 0 -0.876307 0 0 0
5.45399 0 -0.891007 0 0 0
5.42578 0 -0.904827 0 0 0
5.39715 0 -0.917755 0 0 0
5.36812 0 -0.929776 0 0 0
5.33874 0 -0.940881 0 0 0
5.30902 0 -0.951057 0 0 0
5.27899 0 -0.960294 0 0 0
5.24869 0 -0.968583 0 0 0
5.21814 0 -0.975917 0 0 0
5.18738 0 -0.982287 0 0 0
5.15643 0 -0.987688 0 0 0
5.12533 0 -0.992115 0 0 0
5.09411 0 -0.995562 0 0 0
5.06279 0 -0.998027 0 0 0
5.03141 0 -0.999507 0 0 0
5 0 -1 0 0 0
5 0 1 0 0 0
5.03135 0.0019723 0.999507 0 0 0
5.06267 0.00394265 0.998027 0 0 0
5.09392 0.00590911 0.995562 0 0 0
5.12509 0.00786974 0.992115 0 0 0
